,S.NO.,Gender,Age,"Do you chalk your success up to fates, luck or
error?","Many times, you feel crushed by constructive criticism, seeing it as evidence of your ""ineptness""?","Do you believe ""If I can do it, anybody can""?",Do you agonize over the smallest flaws in your work?,Do you believe that everything you do must be completely perfect?,"In rare cases you feel crushed by constructive criticism, seeing it evidence of your ""ineptness""?",Do you feel incompetent despite attaining success?,You compare your abilities to people around you and think that others may be more intelligent than you.,You blame your luck for success rather than hard work,Do you think shortcut to success makes you smarter,You have doubts about your abilities despite people around you trusting you.,Do you often fear not meeting other people's expectations?,I am a perfectionist,Do you feel like a non-valuable member of the family if you don't participate in domestic work?,"""I have to be good at a particular activity to enjoy it"" (As in, if you picked up a new hobby like painting, the only way you feel good about doing it is if you are using perfect techniques and doing it the ""right"" way)",I believe that means is more important than the ends,"When people compliment you, you think you are not as accomplished as they think",Most of your success has been a stroke of luck,You have an above-average IQ score,Your emotional quotient is better than your general IQ score,You downplay compliments from others.,Do you feel like an unimportant family member if you don't involve in decision-making process?,Which places do you think you can be yourself without being judged?,comfort.home,comfort.college,comfort.friends,comfort.work,comfort.online,comfort.alterego,What places do you think you pretend to be someone you are not?,"At least 70% of individuals have dissatisfaction in their lives. Women mostly face self-image issues and in men, it is driven by the fear of not being successful or letting people down. Do you agree with this? And in your experience, how have you seen variances to the mentioned scenarios?","As the campus has reopened after conducting classes, examinations, and project reviews online over the past 2 years, do you feel that this might bring up changes in confidence levels, due to the adjustments which may have arisen doubts in self-esteem from the initial change of method?"
0,1,F,19,SD,N,SD,A,A,N,D,A,SD,SD,D,N,N,SD,D,N,D,D,SD,N,D,SD,"HOME,WITH FRIENDS",100,,,,,,NOWHERE,"YES,I AGREE","YES,IT MADE SOME CHANGES IN MY CONFIDENCE LEVEL.BUT I NEED TO LEARN TIME MANAGEMENT"
1,2,M,19,A,A,N,A,SA,A,D,N,D,SA,A,A,N,SD,SD,SA,D,SD,A,N,SD,SD,"HOME, WITH FRIENDS, ONLINE",70,50.0,80.0,40.0,70,100,WORK,"YES, FROM MY COLLEGE LIFE AND INSTANCES FROMMY LIFE",YES
2,3,M,19,N,A,SA,D,SD,A,N,N,N,A,D,D,SD,D,SA,N,D,D,SA,SA,A,D,"HOME, WITH FRIENDS",100,70.0,90.0,65.0,2,10,COLLEGE,"NO, I DON'T AGREE BUT I DO BELIEVE IT IS TRUE FOR OTHER INDIVIDUALS",YES 
3,4,M,20,A,A,N,A,A,A,N,A,A,D,A,A,A,A,A,N,A,N,A,SA,A,N,NOWHERE,50,50.0,90.0,30.0,50,60,NOWHERE,FEAR OF BEING JUDGED IS SOMETHING ALMOST EVERYONE STRUGGLES WITH AT DIFFERENT LEVELS IN MY OPINION,"DEPENDING ON HOW YOU TAKE IT,IT MIGHT LEAD TO ANXIETY."
4,5,M,21,N,A,D,D,A,SA,D,N,D,A,SD,N,A,SD,A,A,SD,SD,SA,SD,A,N,"HOME,ONLINE",100,80.0,80.0,,100,,"COLLEGE,WITH FRIENDS","YES,TRUE IS WORST OF THE CASES","YES,STUDENTS WILL GET TO SOCIALISE MORE AND INTERACT WITH MORE PEOPLE HENCE THEIR CONFIDENCE WILL GROW"
5,6,M,20,N,D,A,N,N,A,N,N,N,D,D,D,N,N,SD,N,D,D,A,N,A,A,HOME,100,90.0,95.0,80.0,95,95,WORK,"YES,MANY OF MY FRIENDS FACE THIS","YES, INTERACTIONS ONLINE AND OFFLINE ARE VERY DIFFERENT AND PEOPLE'S BEHAVIOUR CAN CHANGE DRASTICALLY"
6,7,,,A,N,A,A,SA,A,A,SA,SD,D,N,A,N,A,A,N,D,D,N,N,D,A,WITH FRIENDS,100,80.0,100.0,80.0,70,,ONLINE,YES. MANY A TIMES I FEEL LIKE I'M AN UNSUCCESSFUL PERSON WHO HAS DONE NOTHING IN THEIR LIFE AND I WANNA ACHIEVE THINGS,IN ONLINE IT WAS GOOD BUT IN OFFLINE WE CAN FACE AN AUDIENCE WHICH IS A BETTER EXPERIENCE BUT YEAH THERE ARE MANY ADJUSTMENTS THAT WE NEED TO MAKE WHILE TRANSITIONING FROM ONLINE TO OFFLINE
7,8,,,A,D,SA,A,N,D,A,A,D,SD,SD,A,D,N,D,SA,A,SD,A,N,A,D,"HOME,WITH FRIENDS",80,30.0,100.0,20.0,100,100,"COLLEGE,WORK",I AGREE TO THE ABOVE.I HAVE KIND OF EXPERIENCED IT MYSELF AS YOU TRANSITION FROM COLLEGE YOU HAVE THAT PRESSURE TO START EARNING MONEY.SO THAT YOU CAN FINANCIALLY UNBURDEN YOUR PARENTS.,"YES, IT MIGHT CHANGE BECAUSE PEOPLE WERE SITTING BEHIND COMPUTERS HIDING THEIR TRUE SELF"
8,9,M,19,N,SD,A,N,D,SD,D,SA,A,D,N,SA,N,D,D,N,SA,N,A,D,SA,N,HOME,90,70.0,85.0,50.0,90,70,NOWHERE,"SOMEWHAT AGREE,THERE IS ALWAYS BURDEN OF PROOF",NOT A MAJOR DIFFERENCE
9,10,M,21,N,D,A,N,SA,A,A,SA,D,N,SA,A,N,SD,SA,A,A,D,N,A,SA,SA,"COLLEGE,WITH FRIENDS",60,80.0,95.0,75.0,95,90,"HOME,WORK","AS A MALE, AGREE WITH HAVING THE FEAR OF NOT LIVING UP TO EXPECTATIONS.PERSONALLY, I ALSO HAVE SELF IMAGE STANDARDS ESPECIALLY AFTER HAVING SPENT SO MUCH TIME ON SOCIAL MEDIA SINCE THE STANDARDS OF WHAT PEOPLE SHARE ARE HIGH","YES,I CAN ALREADY FEEL THE DIFFERENCE IN HOW CONFIDENT I AM WITH MY LEARNINGS FROM CLASS.HOWEVER THE IN PERSON EXAMS AND REVIEWS ARE EXTREMELY ANXIETY INDUCING AMONG MYSLEF AND MY PEERS. IT FEELS LIKE WE'VE BEEN THROWN INTO THE DEEP END OF THE POOL"
